Município,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Onda Verde (SP),77297,77379,86877,113859,124449,126689,148419,145220,129015,127266,160512,190164.0,184997.0,184069.0,116692.0,156808.0,153872.0,171003.0,189749.0
Oriente (SP),21385,27582,30335,31626,31783,35489,50053,57154,57598,63416,71327,83250.0,90894.0,96571.0,94959.0,100006.0,99456.0,101176.0,112840.0
Orindiúva (SP),80088,86171,94494,130255,142206,112632,145832,139314,249229,280908,339104,338227.0,347344.0,345740.0,425366.0,494190.0,275209.0,429570.0,515616.0
Orlândia (SP),569092,728801,832484,898229,1097595,810749,853319,907697,1046217,1152304,1308965,1462454.0,1480698.0,1497844.0,1673808.0,1783973.0,1656635.0,1903712.0,2180278.0
Osasco (SP),12418898,14144164,16232642,19508747,20967398,24427545,32426014,36990810,43499785,47614554,50059468,54335845.0,60834520.0,65912985.0,75683470.0,77927043.0,76607992.0,81908401.0,76311814.0
Oscar Bressane (SP),17023,20708,21469,28146,23523,27270,31114,32707,32717,40838,53763,59193.0,59582.0,67792.0,85269.0,86476.0,85884.0,94339.0,104646.0
Osvaldo Cruz (SP),268872,317199,306761,292633,344702,391447,507847,610350,597485,667007,754065,783730.0,825990.0,890735.0,834244.0,903493.0,750212.0,898429.0,992800.0
Ourinhos (SP),1036885,1110711,1204743,1285576,1221116,1313757,1510941,1580983,1791043,1997484,2252330,2588893.0,2745904.0,2741653.0,2840996.0,3007051.0,3065320.0,3309539.0,3504209.0
Ouroeste (SP),65278,76877,85726,97087,110519,97268,110635,121992,175724,193368,240224,327609.0,355667.0,376813.0,390358.0,468108.0,348120.0,434907.0,596081.0
Ouro Verde (SP),28727,34120,38664,50875,48785,64131,65514,72099,76289,76686,93386,96758.0,93697.0,89520.0,100227.0,114284.0,112292.0,116225.0,127357.0
Pacaembu (SP),49446,54350,58371,64999,78680,87079,93583,117878,115577,128365,135934,152779.0,162740.0,173320.0,197380.0,199007.0,304372.0,284072.0,206126.0
Palestina (SP),70961,64633,72031,77934,108053,129258,149595,170647,220100,204455,213745,257626.0,274594.0,465102.0,350392.0,383000.0,300960.0,363497.0,429397.0
Palmares Paulista (SP),41427,44060,41288,51519,53931,57850,63343,81890,76974,83401,92504,104137.0,100446.0,107687.0,103878.0,122788.0,122174.0,122779.0,131300.0
Palmeira d'Oeste (SP),47931,55043,54009,63130,69495,63532,78237,89374,104225,106482,122300,130514.0,154577.0,157545.0,188581.0,169339.0,187623.0,185300.0,206239.0
Palmital (SP),212200,249515,267141,243667,254703,307096,329000,359190,379611,436705,434056,509128.0,522232.0,566505.0,623742.0,698009.0,655243.0,702181.0,825926.0
Panorama (SP),62831,74055,80396,88839,88617,104677,134722,127526,165906,190649,220618,242185.0,254363.0,236961.0,260217.0,265186.0,264033.0,274792.0,298575.0
Paraguaçu Paulista (SP),316704,348263,311476,413441,647431,510023,524381,593363,707336,845382,914104,926191.0,966586.0,983015.0,1188898.0,1235308.0,1536437.0,1552028.0,1646041.0
Paraibuna (SP),82178,132735,126375,115940,125745,140077,134612,167544,212802,202034,220577,247279.0,276841.0,254471.0,261849.0,275192.0,278768.0,298417.0,325456.0
Paraíso (SP),55365,64304,55288,67119,78949,82685,86144,111275,140999,149685,169723,175542.0,181995.0,193297.0,234316.0,253743.0,164573.0,228459.0,266520.0
Paranapanema (SP),100413,120488,124052,142412,189706,205530,225811,222418,271930,279290,317106,359640.0,469930.0,518175.0,647071.0,594063.0,622269.0,762204.0,894412.0
Paranapuã (SP),17953,19408,19278,21138,21757,29807,26448,38012,46128,43643,55485,60116.0,66387.0,69365.0,84692.0,98931.0,111381.0,130043.0,146562.0
Parapuã (SP),67974,85512,89939,100220,114913,135286,160228,185310,183018,218810,227981,245039.0,267062.0,292059.0,311552.0,364321.0,324507.0,528073.0,640350.0
Pardinho (SP),60375,65543,68281,74666,83574,95489,106569,122632,146477,156901,175858,196094.0,222015.0,237690.0,283791.0,294485.0,265002.0,302891.0,322482.0
Pariquera-Açu (SP),94958,104919,121701,133605,160075,169765,234500,282701,283148,296261,347537,371114.0,412797.0,454612.0,506971.0,513665.0,504538.0,532742.0,533919.0
Parisi (SP),12260,13109,13324,17441,20812,22203,37388,23265,21382,23444,25972,28075.0,32445.0,32280.0,39375.0,49526.0,66795.0,100097.0,53316.0
Patrocínio Paulista (SP),146962,165975,181769,221865,250883,291376,289243,319664,367399,452858,550472,628261.0,722694.0,734028.0,903159.0,977009.0,668168.0,991953.0,1150896.0
Paulicéia (SP),23517,25274,27311,32585,34220,50115,59082,64660,143885,153934,161819,195347.0,207784.0,501166.0,141374.0,151331.0,150546.0,160802.0,197070.0
Paulínia (SP),7474957,8897191,8582047,9262967,9785292,10165558,11654690,12607666,14141349,9804973,8461729,10984788.0,16272895.0,25492565.0,36499593.0,35540436.0,32658835.0,37366101.0,38572766.0
Paulistânia (SP),15027,19021,16673,20390,22588,19976,18201,19554,18551,26315,23478,22071.0,25167.0,23392.0,31343.0,36801.0,41075.0,36076.0,43156.0
Paulo de Faria (SP),81739,78238,83231,93398,113328,108833,117695,137237,154802,158626,156267,174798.0,176507.0,185061.0,226307.0,262607.0,268754.0,219815.0,307340.0
Pederneiras (SP),418522,478717,686078,842918,939973,1073632,1093669,1035549,1313295,1474800,1635552,1859205.0,1984695.0,1678247.0,1822519.0,1933247.0,2082934.0,2134600.0,2334030.0
Pedra Bela (SP),20382,22698,25346,29498,32793,38081,38299,41756,42054,45842,51630,63926.0,64489.0,68701.0,76160.0,80217.0,83333.0,92689.0,107472.0
Pedranópolis (SP),20226,22329,21422,24719,26701,32596,33136,36308,32494,33132,37342,41802.0,44881.0,45111.0,56923.0,64227.0,64378.0,62825.0,72995.0
Pedregulho (SP),337214,318235,386440,449455,514417,502856,464847,538295,660162,748906,825230,475500.0,523228.0,670463.0,886507.0,975672.0,855645.0,1076393.0,1340987.0
Pedreira (SP),282719,328865,377788,481414,543037,588256,652064,710967,756061,849939,896423,957929.0,1029894.0,1064223.0,1126309.0,1199639.0,1221958.0,1317533.0,1378763.0
Pedrinhas Paulista (SP),30229,34685,33062,34244,35070,43532,52537,53428,52318,54925,62442,72073.0,86534.0,98360.0,134985.0,117659.0,133372.0,134312.0,159925.0
Pedro de Toledo (SP),49406,47709,65393,59414,70043,69409,79127,81317,92048,91167,100446,120785.0,126042.0,139472.0,144300.0,152773.0,143306.0,153284.0,166359.0
Penápolis (SP),439236,483086,542349,640355,717906,874702,794735,822517,873794,1004345,1160048,1190639.0,1331696.0,1427488.0,1545655.0,1635187.0,1663158.0,1613444.0,1708157.0
Pereira Barreto (SP),135016,152497,150170,160363,174670,203276,278858,367288,377620,439988,507540,532817.0,623752.0,744173.0,741979.0,737083.0,751375.0,772627.0,910639.0
Pereiras (SP),49045,57897,68394,87582,117101,145777,154555,167248,103648,120300,124685,125093.0,129561.0,140156.0,167206.0,213987.0,161034.0,241771.0,285528.0
Peruíbe (SP),280548,299192,331597,371970,425309,450129,491334,574120,649577,930837,1105188,1265519.0,1379878.0,1300632.0,1187475.0,1331036.0,1522459.0,1662449.0,1638669.0
Piacatu (SP),31449,33003,31869,39665,46795,53910,52213,68979,63577,59268,65754,72433.0,76494.0,80745.0,97253.0,97839.0,91663.0,96124.0,105500.0
Piedade (SP),304286,339033,344045,390477,420762,468054,485662,548294,606801,683664,730969,960432.0,1109388.0,1130682.0,1233916.0,1222785.0,1207103.0,1296865.0,1520382.0
Pilar do Sul (SP),122910,127646,139885,158513,172064,191629,188711,218567,236406,292756,334665,405189.0,496472.0,540476.0,606444.0,643926.0,673249.0,747361.0,858346.0
Pindamonhangaba (SP),1679542,2041140,2314855,2581867,2774314,3107577,3674531,3673848,3855906,4514386,5145268,5691879.0,6188051.0,6604907.0,6763530.0,6983829.0,8616192.0,8473807.0,9034084.0
Pindorama (SP),90065,103458,103838,118556,121138,131703,149929,172005,195578,196166,227704,274360.0,289245.0,276999.0,347649.0,348853.0,373932.0,373917.0,422181.0
Pinhalzinho (SP),52652,62520,68661,75589,83040,92191,104925,121571,134520,150402,163936,202645.0,221678.0,225992.0,240610.0,251348.0,262235.0,277059.0,283315.0
Piquerobi (SP),19373,21173,20949,23295,28894,32526,37332,43289,39778,41151,44327,48323.0,52754.0,54476.0,56426.0,56051.0,53700.0,57520.0,61717.0
Piquete (SP),41475,46176,47467,51930,57086,62320,69509,80766,90841,104873,110665,125448.0,134632.0,139533.0,147698.0,154725.0,164225.0,165485.0,200245.0
Piracaia (SP),103618,125005,134150,162617,173665,196298,197520,221945,256488,284202,316118,367641.0,395547.0,439393.0,464089.0,475416.0,470944.0,543685.0,589542.0
Piracicaba (SP),4690952,5474768,6588721,7525686,8401332,9703356,10959755,10878372,12501662,14732111,16052653,20294828.0,22114033.0,21294814.0,21824203.0,23719579.0,26415203.0,27875682.0,27172817.0
Piraju (SP),162689,177425,199702,226999,252246,258099,274736,315625,356423,402524,483077,531748.0,534971.0,556479.0,607437.0,699028.0,741318.0,779910.0,846460.0
Pirajuí (SP),97030,113699,117795,135684,156870,165064,179072,201352,214411,257565,285387,295337.0,307003.0,337018.0,399153.0,446929.0,470021.0,480208.0,493233.0
Pirangi (SP),74762,79232,89244,87910,123603,119576,116202,119852,136153,144438,161491,186478.0,204833.0,215207.0,267246.0,308172.0,291926.0,306049.0,385532.0
Pirapora do Bom Jesus (SP),93179,99101,153640,186340,299189,364553,382141,357786,359141,439976,424249,438911.0,378963.0,294755.0,365342.0,401310.0,448449.0,525826.0,523356.0
Pirapozinho (SP),157322,175161,157514,174096,201515,254263,343558,400245,440092,498582,539980,586405.0,713178.0,723194.0,749445.0,949018.0,950498.0,884398.0,967369.0
Pirassununga (SP),683389,752732,744082,899581,980624,1018673,1100002,1323710,1528609,1731548,1903237,2082734.0,2248319.0,2323690.0,2489883.0,2622827.0,2793023.0,2870650.0,3119280.0
Piratininga (SP),48147,54869,57181,60471,66109,75967,79357,88213,103067,122441,131171,152231.0,164383.0,184607.0,197102.0,222817.0,232519.0,241527.0,255491.0
Pitangueiras (SP),296494,341339,319045,396916,432681,443282,462845,553391,672897,694055,659743,663400.0,872404.0,917456.0,1502694.0,1001260.0,1064366.0,1122054.0,1278782.0
Planalto (SP),28380,30820,31697,37996,53703,66467,78761,121496,151713,144365,187032,217949.0,218236.0,227599.0,103996.0,241311.0,124303.0,155648.0,180544.0
Platina (SP),26182,30511,31010,32855,37528,43700,54405,56388,47769,53298,53958,62631.0,58698.0,66285.0,82489.0,89665.0,94183.0,95854.0,127549.0
Poá (SP),2205505,2518364,3227995,3389847,3516327,2979409,3441498,3242733,3922732,4235312,3890602,3998234.0,3994806.0,4320707.0,4435625.0,4159458.0,4657043.0,4482510.0,3312400.0
Poloni (SP),36909,42264,30524,36187,44098,57501,50247,64663,85373,95971,98298,103426.0,105082.0,109092.0,133850.0,151177.0,114449.0,128154.0,143747.0
Pompéia (SP),383712,486478,555849,413801,414353,534328,680079,607259,706689,833981,920844,1126494.0,1052340.0,944859.0,1126561.0,1172047.0,1206901.0,1308471.0,1506759.0
Pongaí (SP),20191,22678,22812,29006,30922,39563,35826,47025,43335,44600,47510,49144.0,64073.0,56651.0,76283.0,76266.0,81225.0,73533.0,84841.0
Pontal (SP),288999,346444,327116,394630,491177,423101,468578,551017,663942,736359,795808,805099.0,854354.0,861290.0,1030902.0,1220293.0,1165429.0,1111994.0,1303919.0
Pontalinda (SP),23917,23876,22987,26522,30060,30805,32049,44658,39345,45329,48879,56951.0,56098.0,59983.0,70282.0,93487.0,77813.0,77527.0,85610.0
Pontes Gestal (SP),15060,13260,14311,21874,32487,68676,77987,77959,106935,128664,166786,120982.0,121646.0,124917.0,136140.0,164243.0,136216.0,86236.0,102180.0
Populina (SP),20814,23464,23165,25625,34083,37196,44980,56858,62578,64948,71967,76133.0,74258.0,72926.0,94818.0,99242.0,96124.0,97549.0,109557.0
Porangaba (SP),29736,37103,38583,42255,44477,92315,91595,85768,84749,89303,96214,134214.0,147245.0,159428.0,171048.0,179528.0,175763.0,188954.0,201390.0
Porto Feliz (SP),348218,391127,424132,492948,563045,626315,672289,746900,862627,1014260,1129623,1302974.0,1443379.0,1515774.0,1778360.0,2046786.0,2599523.0,2997482.0,3136745.0
Porto Ferreira (SP),463539,519963,588977,684281,755023,804955,885820,995176,1168792,1319697,1406295,1482660.0,1654753.0,1573237.0,1864746.0,1972527.0,1982087.0,2201939.0,2284887.0
Potim (SP),38426,47000,55635,52379,66153,79387,96401,104834,104174,123555,140421,152349.0,173105.0,178638.0,219111.0,200067.0,216792.0,236485.0,261238.0
Potirendaba (SP),82067,87876,90758,113076,174678,187481,217588,275110,309167,352415,400370,414889.0,443492.0,459447.0,488486.0,551483.0,461198.0,504792.0,588461.0
Pracinha (SP),7862,7350,6841,8012,9803,12767,14905,17156,15735,17324,18099,21910.0,24200.0,26004.0,27568.0,28535.0,32765.0,32824.0,35875.0
Pradópolis (SP),165578,196557,193161,244516,288223,229870,307984,302020,250901,533316,539661,589436.0,648416.0,673950.0,759235.0,952646.0,647784.0,804471.0,1068675.0
Praia Grande (SP),1164371,1307331,1433330,1672949,1845680,2073256,2311440,2791998,3276663,3700064,4312527,4966418.0,5511835.0,6343860.0,6197207.0,6693375.0,7042069.0,7619853.0,8113234.0
Pratânia (SP),30167,35104,41045,43739,58939,76555,69497,93924,76785,68293,83356,82774.0,88506.0,79202.0,107106.0,116475.0,129632.0,117041.0,115913.0
Presidente Alves (SP),24537,27872,29329,36843,44581,45249,51186,54060,38092,46864,52778,57353.0,69931.0,68974.0,77468.0,62828.0,73309.0,74556.0,72702.0
Presidente Bernardes (SP),81577,83731,92125,89852,111457,109234,120236,154684,137330,149728,178558,192125.0,226379.0,233714.0,257711.0,254193.0,269250.0,317202.0,364664.0
Presidente Epitácio (SP),254071,306490,416904,462271,493389,513537,561661,612482,637466,642710,669187,873188.0,961038.0,982548.0,853811.0,868923.0,796269.0,892400.0,955683.0
Presidente Prudente (SP),1945483,2183769,2393676,2752976,3056689,3233746,3506740,4037848,4563335,5021636,5605428,6305709.0,6332855.0,6955500.0,7397140.0,7784161.0,7991424.0,8395327.0,8506732.0
Presidente Venceslau (SP),210066,217515,224705,254590,296655,363504,406284,406462,432068,470250,521832,600997.0,627370.0,680308.0,709553.0,715875.0,715023.0,767606.0,783765.0
Promissão (SP),315641,371219,476317,552584,777574,859385,900929,977006,1411352,1655644,1639354,1554123.0,1603628.0,2393768.0,1610126.0,1773885.0,1622496.0,1451001.0,2047759.0
Quadra (SP),23220,25392,25390,30118,34495,43838,71073,95885,72576,56938,56973,77881.0,82988.0,94688.0,81220.0,100880.0,98773.0,113273.0,125522.0
Quatá (SP),94240,115542,98398,125398,153748,162317,167280,225607,272723,283450,327260,341091.0,388199.0,392678.0,423544.0,477720.0,377326.0,657293.0,744440.0
Queiroz (SP),26622,33561,32907,37882,42653,72436,73841,153732,193421,135057,134398,236585.0,369891.0,394783.0,306560.0,406740.0,230263.0,718301.0,869319.0
Queluz (SP),39827,45836,43948,49712,57895,63645,86711,90395,109057,127520,150640,186697.0,198236.0,212539.0,270280.0,333848.0,316659.0,352951.0,345673.0
Quintana (SP),26502,30370,32272,33099,36581,46262,51714,62879,71568,87996,98320,121703.0,131696.0,127087.0,158830.0,183476.0,145410.0,186055.0,219421.0
Rafard (SP),98196,109448,96158,125058,157322,162657,157916,181995,186779,220516,212973,226958.0,248828.0,256749.0,334979.0,329907.0,322014.0,326687.0,383625.0
Rancharia (SP),225364,278806,285386,322092,355800,379396,479735,524749,562997,638756,831018,908882.0,892274.0,980936.0,1120140.0,1129757.0,1105083.0,1077779.0,1322461.0
Redenção da Serra (SP),15700,14940,15261,17186,24068,31992,35570,39525,32049,34199,35413,43907.0,44089.0,51359.0,55774.0,55139.0,53161.0,55004.0,62422.0
Regente Feijó (SP),140677,156870,189541,200857,249395,266423,319536,361644,386949,425574,472656,548999.0,556777.0,573525.0,612830.0,672865.0,664834.0,778838.0,850298.0
Reginópolis (SP),35024,38478,43128,48790,53292,64059,74327,85809,59232,80844,78277,85552.0,106211.0,97308.0,130096.0,149419.0,144818.0,146593.0,176929.0
Registro (SP),318046,321893,322335,381228,443253,471214,504286,629100,899415,1007679,1207472,1300500.0,1850375.0,1694494.0,1827928.0,1948229.0,1965902.0,2096319.0,2187148.0
Restinga (SP),53101,56461,59990,58561,86759,86147,79777,102262,113179,94064,121745,119730.0,135557.0,152703.0,177497.0,165190.0,165900.0,177300.0,192918.0
Ribeira (SP),10434,11133,11331,12730,13576,15807,19627,23933,22493,23647,25910,29220.0,41871.0,41826.0,48518.0,48584.0,48078.0,49695.0,54175.0
Ribeirão Bonito (SP),82999,97665,100542,106456,121165,146326,133940,154213,151305,164621,198556,246197.0,244772.0,208733.0,245619.0,273959.0,252211.0,304613.0,345639.0
Ribeirão Branco (SP),87345,117281,115062,125121,127807,146859,190546,225955,156171,134615,183648,308516.0,503397.0,371949.0,406807.0,380247.0,299807.0,306058.0,512145.0
Ribeirão Corrente (SP),33602,25550,36655,30987,41333,63930,53232,63853,64579,51252,77195,71015.0,92509.0,73508.0,115835.0,87934.0,108300.0,146691.0,175238.0
Ribeirão do Sul (SP),32532,42358,42561,46439,54182,49125,63338,61099,60336,63906,72949,80251.0,104639.0,122279.0,128912.0,142952.0,149069.0,160132.0,201040.0
Ribeirão dos Índios (SP),7995,8658,9062,17650,19742,20857,20387,21445,21533,25941,28422,31216.0,33247.0,34014.0,39925.0,37838.0,35688.0,38896.0,42308.0
Ribeirão Grande (SP),60327,75723,79092,85327,85420,111225,127240,179591,206716,230006,233950,214884.0,243328.0,180101.0,301484.0,296201.0,266124.0,195687.0,218852.0
Ribeirão Pires (SP),715269,803455,902437,976125,1083652,1263745,1365368,1437652,1803800,2025927,2212394,2569595.0,2742531.0,2868177.0,3000733.0,2979802.0,3041275.0,3150964.0,3341360.0
Ribeirão Preto (SP),6943154,7927446,8451936,9777461,11034584,12945539,14230230,15464899,18280844,20127799,21854359,24905981.0,26785870.0,27735074.0,30035542.0,32670177.0,34323817.0,35444536.0,35218869.0
Riversul (SP),20333,23301,22776,24413,26640,29643,31929,36116,32334,35265,39165,44344.0,48573.0,54870.0,64701.0,67813.0,64014.0,68258.0,85167.0
Rifaina (SP),16386,19004,20959,24878,29264,33491,33795,42246,41410,45423,51171,55716.0,63724.0,91796.0,105741.0,113958.0,108838.0,131346.0,173656.0
Rincão (SP),65406,91859,93073,86934,79089,114073,88234,89227,124568,136063,161241,164361.0,168974.0,156339.0,182648.0,210391.0,195877.0,192603.0,209965.0
Rinópolis (SP),52882,56440,60743,67677,73235,80981,83567,94686,101762,122982,129060,156433.0,210662.0,222528.0,233029.0,265251.0,253682.0,304806.0,303134.0
Rio Claro (SP),2140895,2549301,3059090,3334185,3532608,4051738,4633788,5090005,5639384,6513401,7244123,7756694.0,8377158.0,8436397.0,8920856.0,9212472.0,9799282.0,10519723.0,11432196.0
Rio das Pedras (SP),302375,358546,377474,455630,585399,589268,666067,682516,764123,873448,882330,1045005.0,1122371.0,1049249.0,1024244.0,1438219.0,1285351.0,1377364.0,1464968.0
Rio Grande da Serra (SP),144441,159967,186795,219079,222947,240365,270860,337363,384515,425066,451991,529734.0,520456.0,535172.0,607626.0,631764.0,608658.0,776075.0,847583.0
Riolândia (SP),50948,57163,68085,65191,70505,82472,99996,128909,108356,128033,135089,148518.0,151077.0,166744.0,204288.0,226415.0,251748.0,220387.0,246046.0
Rosana (SP),605308,550585,605244,699760,725584,672267,628288,733826,876861,899399,1034336,1113517.0,1215622.0,1709345.0,2235752.0,1255674.0,1195667.0,1508117.0,2277165.0
Roseira (SP),58842,66280,69512,84659,97616,96478,114693,148616,171147,208320,197180,236081.0,229654.0,258693.0,249123.0,286812.0,292162.0,310982.0,338539.0
Rubiácea (SP),52975,31851,31019,28402,41997,55787,49610,68363,59584,59301,63898,44354.0,47488.0,48794.0,57973.0,62350.0,62769.0,65858.0,81573.0
Rubinéia (SP),16562,17383,17468,19157,22699,25831,27658,45311,30425,37101,43472,50531.0,54007.0,58602.0,71320.0,82871.0,77944.0,84276.0,88399.0
